section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022718400000,"""0;1;2;3""",597.322,468.303,495.873,544.579,733.78,369.936,773.036,345.836
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908796920000,"""0;1;2;3;4;5;6;7;8;9""",365.913,379.934,1171.778,359.933,1206.894,911.67,350.035,921.544
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908830260000,"""0;1;2;3;4;5;6;7;8;9""",365.393,379.594,1171.393,359.464,1206.544,911.196,349.495,921.172
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908863600000,"""0;1;2;3;4;5;6;7;8;9""",364.939,378.972,1171.143,358.777,1206.256,910.796,349.111,920.667
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908896940000,"""0;1;2;3;4;5;6;7;8;9""",364.693,378.384,1171.222,358.245,1206.286,910.487,349.065,920.3
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908930280000,"""0;1;2;3;4;5;6;7;8;9""",364.83,377.914,1171.498,357.943,1206.72,910.148,349.208,919.859
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908963630000,"""0;1;2;3;4;5;6;7;8;9""",365.137,377.389,1171.915,357.671,1207.066,909.833,349.413,919.491
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946908996970000,"""0;1;2;3;4;5;6;7;8;9""",365.53,377.066,1172.355,357.349,1207.334,909.719,349.798,919.264
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909030320000,"""0;1;2;3;4;5;6;7;8;9""",365.942,376.899,1172.791,357.152,1207.635,909.603,350.226,919.097
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909063660000,"""0;1;2;3;4;5;6;7;8;9""",366.425,376.864,1173.164,357.169,1208.062,909.638,350.678,919.106
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909097000000,"""0;1;2;3;4;5;6;7;8;9""",366.848,376.835,1173.574,357.294,1208.513,909.538,351.063,919.132
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909130340000,"""0;1;2;3;4;5;6;7;8;9""",367.197,376.591,1173.953,357.023,1208.947,909.08,351.418,918.781
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909163680000,"""0;1;2;3;4;5;6;7;8;9""",367.532,376.203,1174.316,356.41,1209.14,908.563,351.873,918.248
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909197030000,"""0;1;2;3;4;5;6;7;8;9""",367.885,376.093,1174.524,356.097,1209.574,908.248,352.4,918.125
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909230370000,"""0;1;2;3;4;5;6;7;8;9""",368.36,376.2,1174.761,356.098,1209.95,908.186,352.918,918.216
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909263720000,"""0;1;2;3;4;5;6;7;8;9""",368.625,376.611,1174.764,356.336,1209.952,908.419,353.127,918.615
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909297060000,"""0;1;2;3;4;5;6;7;8;9""",368.661,377.289,1174.469,357.018,1209.702,908.987,353.035,919.246
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909330410000,"""0;1;2;3;4;5;6;7;8;9""",368.45,378.164,1174.178,357.672,1209.414,909.518,352.932,919.899
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909363740000,"""0;1;2;3;4;5;6;7;8;9""",368.24,378.604,1173.881,358.046,1209.154,909.951,352.691,920.301
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909397080000,"""0;1;2;3;4;5;6;7;8;9""",368.041,378.994,1173.642,358.618,1209.036,910.493,352.447,920.803
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909430430000,"""0;1;2;3;4;5;6;7;8;9""",367.89,379.474,1173.499,359.138,1208.938,910.901,352.302,921.217
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909463770000,"""0;1;2;3;4;5;6;7;8;9""",367.81,379.637,1173.468,359.205,1208.964,910.82,352.297,921.178
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909497120000,"""0;1;2;3;4;5;6;7;8;9""",367.911,379.113,1173.605,358.801,1209.083,910.288,352.444,920.387
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909530460000,"""0;1;2;3;4;5;6;7;8;9""",368.428,378.579,1174.07,358.311,1209.273,910.111,352.916,920.005
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909563810000,"""0;1;2;3;4;5;6;7;8;9""",369.114,379.075,1174.357,359.012,1209.677,910.806,353.386,920.683
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909597140000,"""0;1;2;3;4;5;6;7;8;9""",369.843,379.914,1174.608,360.013,1209.94,911.576,353.889,921.226
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909630480000,"""0;1;2;3;4;5;6;7;8;9""",370.41,380.684,1174.835,361.053,1209.949,912.356,354.283,921.721
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909663830000,"""0;1;2;3;4;5;6;7;8;9""",370.897,381.587,1174.951,362.138,1210.005,913.464,354.531,922.647
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909697170000,"""0;1;2;3;4;5;6;7;8;9""",370.916,382.63,1174.935,363.229,1209.777,914.284,354.319,923.351
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909730520000,"""0;1;2;3;4;5;6;7;8;9""",370.43,383.125,1174.528,363.633,1209.11,914.676,353.642,923.629
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909763860000,"""0;1;2;3;4;5;6;7;8;9""",369.655,383.084,1173.968,363.553,1208.749,914.603,352.964,923.646
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909797210000,"""0;1;2;3;4;5;6;7;8;9""",368.955,382.944,1173.42,363.246,1208.489,914.365,352.414,923.58
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,1754946909830550000,"""0;1;2;3;4;5;6;7;8;9""",368.456,382.565,1173.128,362.881,1208.206,914.14,352.016,923.243
